GuestID,FirstName,LastName,Gender,AgeBand,HomeCity,Country,PostcodeArea,Email,LoyaltyTier,MemberSince,MarketingConsent
GST00052,George,Mitchell,M,35-44,Sheffield,United Kingdom,S,george.mitchell941@outlook.com,Gold,2020-04-22,Yes
GST00053,Maya,Morris,F,25-34,Oxford,United Kingdom,OX,maya.morris111@gmail.com,Bronze,2023-10-31,Yes
GST00054,Leah,Reid,F,45-54,Reading,United Kingdom,RG,leah.reid83@gmail.com,Silver,2018-10-22,Yes
GST00055,Lewis,Wilson,M,35-44,Glasgow,United Kingdom,G,lewis.wilson324@proton.me,Bronze,2019-04-13,Yes
GST00056,Grace,Martin,F,55-64,New York,United States,,grace.martin446@gmail.com,Non-member,,Yes
GST00057,Nathan,Brown,M,35-44,Mumbai,India,,nathan.brown326@outlook.com,Bronze,2022-12-18,Yes
GST00058,Lucy,Wright,F,18-24,Oxford,United Kingdom,OX,lucy.wright947@gmail.com,Silver,2023-12-04,Yes
GST00059,Isla,Baker,F,35-44,Bristol,United Kingdom,BS,isla.baker557@yahoo.co.uk,Bronze,2024-03-12,Yes
GST00060,Olivia,Singh,F,25-34,Cardiff,United Kingdom,CF,olivia.singh628@hotmail.com,Non-member,,No
GST00061,Isla,Reid,F,35-44,Cambridge,United Kingdom,CB,isla.reid576@icloud.com,Gold,2019-01-14,No
GST00062,Priya,Khan,F,25-34,Birmingham,United Kingdom,B,priya.khan539@outlook.com,Gold,2024-01-29,Yes
GST00063,Oscar,Wilson,M,55-64,Bristol,United Kingdom,BS,oscar.wilson758@gmail.com,Non-member,,Yes
GST00064,Benjamin,Cooper,M,25-34,Birmingham,United Kingdom,B,benjamin.cooper218@outlook.com,Bronze,2019-02-26,Yes
GST00065,Ella,Khan,F,45-54,Leeds,United Kingdom,LS,ella.khan988@proton.me,Silver,2019-01-21,Yes
GST00066,Amelia,Jackson,F,25-34,Cambridge,United Kingdom,CB,amelia.jackson956@outlook.com,Silver,2020-02-16,Yes
GST00067,Meera,Smith,F,45-54,Reading,United Kingdom,RG,meera.smith158@gmail.com,Gold,2021-02-19,No
GST00068,David,Evans,M,55-64,Cambridge,United Kingdom,CB,david.evans489@icloud.com,Silver,2026-02-05,Yes
GST00069,Matthew,Williams,M,25-34,Reading,United Kingdom,RG,matthew.williams975@gmail.com,Gold,2018-08-27,Yes
GST00070,George,Baker,M,65+,Berlin,Germany,,george.baker416@outlook.com,Silver,2024-02-20,Yes
GST00071,James,Shah,M,35-44,Nottingham,United Kingdom,NG,james.shah951@outlook.com,Bronze,2024-09-14,No
GST00072,Amelia,Turner,F,25-34,Paris,France,,amelia.turner83@hotmail.com,Bronze,2022-04-23,Yes
GST00073,Georgia,Edwards,F,25-34,Birmingham,United Kingdom,B,georgia.edwards843@hotmail.com,Platinum,2026-05-28,Yes
GST00074,Ananya,Walker,F,25-34,Bristol,United Kingdom,BS,ananya.walker194@proton.me,Bronze,2018-06-15,Yes
GST00075,Ananya,Hall,F,35-44,Manchester,United Kingdom,M,ananya.hall762@proton.me,Silver,2025-06-02,No
GST00076,Noah,King,M,35-44,Glasgow,United Kingdom,G,noah.king711@proton.me,Gold,2020-10-04,Yes
GST00077,Henry,Carter,M,55-64,Sheffield,United Kingdom,S,henry.carter11@yahoo.co.uk,Bronze,2021-02-04,Yes
GST00078,James,King,M,55-64,Sydney,Australia,,james.king326@hotmail.com,Non-member,,Yes
GST00079,Joshua,Khan,M,55-64,Manchester,United Kingdom,M,joshua.khan554@icloud.com,Bronze,2024-03-04,No
GST00080,Omar,Taylor,M,25-34,Liverpool,United Kingdom,L,omar.taylor18@outlook.com,Non-member,,No
GST00081,Omar,Smith,M,35-44,Sheffield,United Kingdom,S,omar.smith515@yahoo.co.uk,Bronze,2024-10-17,Yes
GST00082,Hannah,Davies,F,55-64,Reading,United Kingdom,RG,hannah.davies129@yahoo.co.uk,Bronze,2018-03-26,Yes
GST00083,Grace,Green,F,18-24,Glasgow,United Kingdom,G,grace.green992@yahoo.co.uk,Silver,2019-02-04,No
GST00084,George,Murray,M,25-34,New York,United States,,george.murray755@gmail.com,Bronze,2020-08-08,Yes
GST00085,Hannah,Robinson,F,65+,Newcastle,United Kingdom,NE,hannah.robinson85@proton.me,Gold,2019-06-23,No
GST00086,Zara,Evans,F,35-44,Oxford,United Kingdom,OX,zara.evans383@gmail.com,Non-member,,Yes
GST00087,Thomas,Martin,M,25-34,Cambridge,United Kingdom,CB,thomas.martin119@icloud.com,Silver,2022-01-25,Yes
GST00088,Freya,Shah,F,35-44,Edinburgh,United Kingdom,EH,freya.shah616@yahoo.co.uk,Bronze,2024-06-25,Yes
GST00089,Zara,Wilson,F,25-34,Madrid,Spain,,zara.wilson900@icloud.com,Non-member,,Yes
GST00090,Arjun,Jackson,M,18-24,Cardiff,United Kingdom,CF,arjun.jackson294@yahoo.co.uk,Silver,2024-03-20,No
GST00091,Thomas,Jones,M,45-54,Cardiff,United Kingdom,CF,thomas.jones606@outlook.com,Gold,2026-01-26,Yes
GST00092,Jack,Fraser,M,35-44,Amsterdam,Netherlands,,jack.fraser83@icloud.com,Gold,2023-01-17,Yes
GST00093,Nadia,Martin,F,45-54,Madrid,Spain,,nadia.martin667@hotmail.com,Non-member,,No
GST00094,Sophie,Hall,F,25-34,London,United Kingdom,SE,sophie.hall20@yahoo.co.uk,Bronze,2023-12-01,Yes
GST00095,Leah,Ahmed,F,25-34,Bristol,United Kingdom,BS,leah.ahmed228@outlook.com,Silver,2021-08-16,Yes
GST00096,Bethany,Walker,F,25-34,Glasgow,United Kingdom,G,bethany.walker251@hotmail.com,Bronze,2018-09-07,Yes
GST00097,Alice,Davies,F,55-64,Oxford,United Kingdom,OX,alice.davies144@proton.me,Gold,2020-09-21,Yes
GST00098,Priya,Gupta,F,25-34,Oxford,United Kingdom,OX,priya.gupta367@icloud.com,Non-member,,No
GST00099,Jack,Fraser,M,45-54,Bristol,United Kingdom,BS,jack.fraser923@proton.me,Silver,2023-09-17,Yes
GST00100,Ava,Collins,F,35-44,Reading,United Kingdom,RG,ava.collins764@gmail.com,Gold,2021-06-21,Yes
GST00101,Arjun,Reid,M,55-64,Sheffield,United Kingdom,S,arjun.reid402@gmail.com,Silver,2024-07-27,No
GST00102,Hannah,Wood,F,35-44,Toronto,Canada,,hannah.wood529@yahoo.co.uk,Gold,2025-06-20,Yes
GST00103,Ananya,Wright,F,55-64,Oxford,United Kingdom,OX,ananya.wright883@gmail.com,Bronze,2018-05-01,Yes
GST00104,George,Singh,M,45-54,Madrid,Spain,,george.singh943@yahoo.co.uk,Silver,2024-09-03,Yes
GST00105,Charlotte,Wilson,F,35-44,Newcastle,United Kingdom,NE,charlotte.wilson967@gmail.com,Non-member,,Yes
GST00106,Luke,Wood,M,25-34,Bristol,United Kingdom,BS,luke.wood610@gmail.com,Silver,2023-10-26,No
GST00107,Oliver,Wright,M,35-44,Glasgow,United Kingdom,G,oliver.wright908@gmail.com,Silver,2022-11-02,Yes
GST00108,Fatima,Cooper,F,25-34,Liverpool,United Kingdom,L,fatima.cooper619@icloud.com,Bronze,2021-04-22,Yes
GST00109,Aisha,Singh,F,45-54,London,United Kingdom,SE,aisha.singh565@proton.me,Bronze,2026-07-01,Yes
GST00110,Henry,Morris,M,18-24,Madrid,Spain,,henry.morris508@icloud.com,Bronze,2024-11-24,Yes
GST00111,Jack,Phillips,M,55-64,Leeds,United Kingdom,LS,jack.phillips720@hotmail.com,Bronze,2021-11-15,No
GST00112,Fatima,Mehta,F,35-44,Cardiff,United Kingdom,CF,fatima.mehta171@hotmail.com,Non-member,,Yes
GST00113,Ella,Evans,F,35-44,Cardiff,United Kingdom,CF,ella.evans436@gmail.com,Bronze,2023-07-04,No
GST00114,Rebecca,Reid,F,65+,Sheffield,United Kingdom,S,rebecca.reid124@proton.me,Silver,2025-09-20,Yes
GST00115,Nathan,Harris,M,45-54,Cardiff,United Kingdom,CF,nathan.harris643@gmail.com,Gold,2024-11-10,No
GST00116,Alfie,Turner,M,18-24,Sheffield,United Kingdom,S,alfie.turner407@gmail.com,Silver,2019-10-17,Yes
GST00117,Ava,Martin,F,25-34,Nottingham,United Kingdom,NG,ava.martin652@yahoo.co.uk,Bronze,2023-10-29,No
GST00118,Harry,Brown,M,18-24,Leicester,United Kingdom,LE,harry.brown393@yahoo.co.uk,Bronze,2018-10-05,Yes
GST00119,Olivia,Wilson,F,25-34,Oxford,United Kingdom,OX,olivia.wilson605@outlook.com,Gold,2019-01-15,Yes
GST00120,Aisha,Walker,F,35-44,Glasgow,United Kingdom,G,aisha.walker588@gmail.com,Silver,2025-06-24,No
GST00121,Chloe,Harris,F,18-24,Liverpool,United Kingdom,L,chloe.harris25@hotmail.com,Gold,2024-04-26,No
GST00122,Luke,Mehta,M,35-44,Liverpool,United Kingdom,L,luke.mehta94@icloud.com,Non-member,,Yes
GST00123,Lewis,Khan,M,45-54,Reading,United Kingdom,RG,lewis.khan739@yahoo.co.uk,Bronze,2022-02-23,Yes
GST00124,William,Parker,M,45-54,Bristol,United Kingdom,BS,william.parker263@outlook.com,Silver,2018-11-23,Yes
GST00125,Jessica,Ali,F,35-44,Berlin,Germany,,jessica.ali79@yahoo.co.uk,Bronze,2023-03-31,Yes
GST00126,Henry,Ali,M,35-44,Liverpool,United Kingdom,L,henry.ali68@icloud.com,Silver,2020-12-25,No
GST00127,Isla,Campbell,F,25-34,Sheffield,United Kingdom,S,isla.campbell890@proton.me,Bronze,2021-05-03,Yes
GST00128,Oliver,Edwards,M,45-54,Paris,France,,oliver.edwards661@outlook.com,Non-member,,Yes
GST00129,Thomas,Wright,M,65+,Birmingham,United Kingdom,B,thomas.wright357@proton.me,Silver,2024-11-18,Yes
GST00130,Adam,Baker,M,55-64,Berlin,Germany,,adam.baker651@yahoo.co.uk,Non-member,,Yes
GST00131,Emily,Campbell,F,35-44,Sheffield,United Kingdom,S,emily.campbell864@yahoo.co.uk,Platinum,2022-08-22,Yes
GST00132,Chloe,Johnson,F,25-34,London,United Kingdom,SE,chloe.johnson705@outlook.com,Bronze,2019-11-13,Yes
GST00133,Sophia,King,F,35-44,Glasgow,United Kingdom,G,sophia.king851@proton.me,Non-member,,Yes
GST00134,Hannah,Murray,F,25-34,Manchester,United Kingdom,M,hannah.murray189@yahoo.co.uk,Bronze,2020-05-23,Yes
GST00135,Priya,White,F,55-64,Newcastle,United Kingdom,NE,priya.white906@proton.me,Bronze,2025-06-19,Yes
GST00136,Alfie,Wilson,M,25-34,Nottingham,United Kingdom,NG,alfie.wilson216@yahoo.co.uk,Bronze,2021-11-10,Yes
GST00137,Leah,Patel,F,35-44,Reading,United Kingdom,RG,leah.patel173@gmail.com,Silver,2022-09-01,Yes
GST00138,Aisha,Evans,F,18-24,Milan,Italy,,aisha.evans993@outlook.com,Bronze,2019-11-19,Yes
GST00139,David,Ahmed,M,45-54,Bristol,United Kingdom,BS,david.ahmed70@icloud.com,Platinum,2022-12-11,Yes
GST00140,Charlie,Robinson,M,45-54,Oxford,United Kingdom,OX,charlie.robinson681@outlook.com,Gold,2020-11-30,Yes
GST00141,Jacob,Khan,M,35-44,Mumbai,India,,jacob.khan630@proton.me,Bronze,2024-07-30,No
GST00142,Bethany,Smith,F,55-64,Cambridge,United Kingdom,CB,bethany.smith296@hotmail.com,Bronze,2024-07-04,Yes
GST00143,Sophie,Reid,F,25-34,Manchester,United Kingdom,M,sophie.reid655@yahoo.co.uk,Bronze,2024-04-07,Yes
GST00144,Leah,Baker,F,55-64,Glasgow,United Kingdom,G,leah.baker900@hotmail.com,Platinum,2023-01-07,Yes
GST00145,Alfie,Phillips,M,45-54,Manchester,United Kingdom,M,alfie.phillips395@outlook.com,Bronze,2024-04-27,Yes
GST00146,Ananya,Campbell,F,25-34,Cambridge,United Kingdom,CB,ananya.campbell649@icloud.com,Gold,2021-09-11,No
GST00147,Sophie,Hall,F,25-34,Bristol,United Kingdom,BS,sophie.hall593@hotmail.com,Bronze,2020-04-21,Yes
GST00148,Sophia,Wilson,F,45-54,London,United Kingdom,SE,sophia.wilson960@gmail.com,Bronze,2018-03-22,Yes
GST00149,Aisha,Fraser,F,35-44,Leeds,United Kingdom,LS,aisha.fraser188@gmail.com,Bronze,2020-06-29,Yes
GST00150,Rebecca,Fraser,F,25-34,Leicester,United Kingdom,LE,rebecca.fraser81@yahoo.co.uk,Platinum,2024-08-27,No
GST00151,Lewis,Clarke,M,25-34,Bristol,United Kingdom,BS,lewis.clarke720@hotmail.com,Bronze,2021-08-23,Yes
GST00152,Omar,Cooper,M,45-54,Cambridge,United Kingdom,CB,omar.cooper683@outlook.com,Silver,2025-01-14,Yes
GST00153,Charlie,Green,M,45-54,Nottingham,United Kingdom,NG,charlie.green706@outlook.com,Bronze,2019-06-06,Yes
GST00154,Emily,Collins,F,25-34,Madrid,Spain,,emily.collins226@gmail.com,Non-member,,Yes
GST00155,Leo,Carter,M,25-34,Bristol,United Kingdom,BS,leo.carter286@yahoo.co.uk,Gold,2020-06-05,No
GST00156,Henry,White,M,65+,Oxford,United Kingdom,OX,henry.white566@yahoo.co.uk,Bronze,2025-10-18,Yes
GST00157,Callum,Jones,M,25-34,Liverpool,United Kingdom,L,callum.jones857@proton.me,Gold,2024-04-07,No
GST00158,Callum,Jones,M,45-54,Glasgow,United Kingdom,G,callum.jones68@hotmail.com,Bronze,2020-06-18,Yes
GST00159,Mia,Clarke,F,35-44,London,United Kingdom,SE,mia.clarke556@gmail.com,Gold,2026-02-21,Yes
GST00160,Leah,Fraser,F,45-54,Leeds,United Kingdom,LS,leah.fraser787@proton.me,Bronze,2018-03-14,No
GST00161,Maya,Phillips,F,35-44,Cambridge,United Kingdom,CB,maya.phillips164@outlook.com,Gold,2020-06-17,Yes
GST00162,Meera,Wood,F,25-34,Sydney,Australia,,meera.wood890@outlook.com,Bronze,2024-04-02,Yes
GST00163,Ryan,Robinson,M,65+,Cambridge,United Kingdom,CB,ryan.robinson887@yahoo.co.uk,Bronze,2026-04-03,No
GST00164,Charlotte,Ali,F,35-44,Amsterdam,Netherlands,,charlotte.ali369@proton.me,Bronze,2024-10-01,No
GST00165,Arjun,Fraser,M,55-64,New York,United States,,arjun.fraser890@yahoo.co.uk,Non-member,,No
GST00166,Jessica,Harris,F,18-24,London,United Kingdom,SE,jessica.harris387@proton.me,Gold,2026-05-28,Yes
GST00167,Grace,Thompson,F,65+,Edinburgh,United Kingdom,EH,grace.thompson569@icloud.com,Silver,2022-07-04,Yes
GST00168,Mia,Morris,F,25-34,Paris,France,,mia.morris134@yahoo.co.uk,Platinum,2025-12-29,No
GST00169,Maya,Murray,F,55-64,Liverpool,United Kingdom,L,maya.murray225@hotmail.com,Bronze,2026-06-27,No
GST00170,Meera,Jackson,F,55-64,Leeds,United Kingdom,LS,meera.jackson314@icloud.com,Bronze,2019-07-14,No
GST00171,Luke,Shah,M,18-24,Manchester,United Kingdom,M,luke.shah120@yahoo.co.uk,Bronze,2019-12-17,Yes
GST00172,Sophia,Evans,F,25-34,Leicester,United Kingdom,LE,sophia.evans337@icloud.com,Bronze,2022-06-22,Yes
GST00173,Jessica,Martin,F,65+,Sheffield,United Kingdom,S,jessica.martin187@proton.me,Non-member,,Yes
GST00174,Isla,Hall,F,25-34,New York,United States,,isla.hall323@yahoo.co.uk,Bronze,2025-05-18,Yes
GST00175,Jack,Parker,M,35-44,Manchester,United Kingdom,M,jack.parker984@proton.me,Bronze,2023-01-16,Yes
GST00176,Jack,Edwards,M,65+,Cambridge,United Kingdom,CB,jack.edwards263@gmail.com,Silver,2021-01-30,No
GST00177,Matthew,Parker,M,25-34,Newcastle,United Kingdom,NE,matthew.parker686@icloud.com,Gold,2023-10-03,No
GST00178,Jack,Clarke,M,18-24,Birmingham,United Kingdom,B,jack.clarke115@proton.me,Non-member,,Yes
GST00179,Sophie,Mitchell,F,35-44,Paris,France,,sophie.mitchell550@hotmail.com,Bronze,2024-07-20,Yes
GST00180,Joshua,Ali,M,25-34,Edinburgh,United Kingdom,EH,joshua.ali136@outlook.com,Bronze,2022-07-15,Yes
GST00181,Leo,White,M,55-64,Liverpool,United Kingdom,L,leo.white667@hotmail.com,Bronze,2024-03-24,Yes
GST00182,William,Wood,M,45-54,Manchester,United Kingdom,M,william.wood760@yahoo.co.uk,Non-member,,Yes
GST00183,Ryan,Khan,M,25-34,Newcastle,United Kingdom,NE,ryan.khan290@hotmail.com,Bronze,2024-03-05,No
GST00184,Ananya,Hussain,F,25-34,Leeds,United Kingdom,LS,ananya.hussain687@gmail.com,Platinum,2023-01-19,No
GST00185,Mia,Phillips,F,18-24,Newcastle,United Kingdom,NE,mia.phillips593@gmail.com,Gold,2026-01-17,Yes
GST00186,Harry,Hall,M,55-64,Birmingham,United Kingdom,B,harry.hall341@proton.me,Gold,2026-04-18,Yes
GST00187,Luke,Collins,M,25-34,Newcastle,United Kingdom,NE,luke.collins109@icloud.com,Silver,2021-12-16,Yes
GST00188,Jacob,Williams,M,65+,Nottingham,United Kingdom,NG,jacob.williams351@proton.me,Silver,2023-07-15,Yes
GST00189,Lily,Baker,F,25-34,Bristol,United Kingdom,BS,lily.baker839@outlook.com,Bronze,2020-10-07,Yes
GST00190,Maya,Jones,F,35-44,Liverpool,United Kingdom,L,maya.jones71@hotmail.com,Silver,2020-06-25,Yes
GST00191,Meera,Wood,F,35-44,Leicester,United Kingdom,LE,meera.wood50@icloud.com,Bronze,2023-05-06,Yes
GST00192,Nadia,Mitchell,F,35-44,Leicester,United Kingdom,LE,nadia.mitchell401@gmail.com,Bronze,2021-02-14,Yes
GST00193,Noah,Edwards,M,35-44,Nottingham,United Kingdom,NG,noah.edwards366@hotmail.com,Gold,2021-10-26,Yes
GST00194,Ava,Williams,F,25-34,Newcastle,United Kingdom,NE,ava.williams160@outlook.com,Bronze,2024-10-01,Yes
GST00195,Nathan,Campbell,M,35-44,Edinburgh,United Kingdom,EH,nathan.campbell162@gmail.com,Bronze,2020-09-28,Yes
GST00196,Isla,Evans,F,35-44,Leeds,United Kingdom,LS,isla.evans483@proton.me,Gold,2020-08-24,Yes
GST00197,Mohammed,Johnson,M,25-34,Leeds,United Kingdom,LS,mohammed.johnson132@yahoo.co.uk,Bronze,2024-05-31,No
GST00198,Aisha,Davies,F,25-34,Berlin,Germany,,aisha.davies429@icloud.com,Bronze,2022-12-04,Yes
GST00199,Priya,Cooper,F,25-34,Amsterdam,Netherlands,,priya.cooper138@icloud.com,Bronze,2019-01-31,Yes
GST00200,Amelia,Martin,F,45-54,Birmingham,United Kingdom,B,amelia.martin921@yahoo.co.uk,Silver,2022-07-13,Yes
GST00201,Mia,Campbell,F,25-34,Cambridge,United Kingdom,CB,mia.campbell199@proton.me,Platinum,2019-12-09,Yes
GST00202,Charlie,Baker,M,25-34,Cambridge,United Kingdom,CB,charlie.baker415@gmail.com,Gold,2021-08-12,Yes
GST00203,Henry,Williams,M,45-54,Amsterdam,Netherlands,,henry.williams224@hotmail.com,Gold,2024-08-19,Yes
GST00204,Sophia,Cooper,F,55-64,Liverpool,United Kingdom,L,sophia.cooper560@hotmail.com,Gold,2019-07-31,Yes
GST00205,Nathan,Taylor,M,25-34,Bristol,United Kingdom,BS,nathan.taylor753@gmail.com,Silver,2021-09-30,Yes
GST00206,Jacob,Taylor,M,65+,Cambridge,United Kingdom,CB,jacob.taylor896@icloud.com,Platinum,2024-03-16,Yes
GST00207,Mohammed,Carter,M,35-44,Leeds,United Kingdom,LS,mohammed.carter732@gmail.com,Bronze,2020-09-28,Yes
GST00208,Rohan,Turner,M,25-34,Cambridge,United Kingdom,CB,rohan.turner316@gmail.com,Bronze,2019-03-01,Yes
GST00209,Yusuf,Stewart,M,25-34,Birmingham,United Kingdom,B,yusuf.stewart707@outlook.com,Silver,2023-12-08,Yes
GST00210,Fatima,Martin,F,65+,Amsterdam,Netherlands,,fatima.martin206@outlook.com,Bronze,2024-02-16,Yes
GST00211,Arjun,Mehta,M,25-34,Milan,Italy,,arjun.mehta426@yahoo.co.uk,Bronze,2026-03-14,No
GST00212,Hannah,Harris,F,55-64,Reading,United Kingdom,RG,hannah.harris691@gmail.com,Silver,2021-07-03,Yes
GST00213,Luke,Gupta,M,45-54,Cardiff,United Kingdom,CF,luke.gupta938@gmail.com,Silver,2020-03-23,Yes
GST00214,Rohan,White,M,35-44,London,United Kingdom,SE,rohan.white776@yahoo.co.uk,Bronze,2022-11-08,Yes
GST00215,Benjamin,Baker,M,18-24,Glasgow,United Kingdom,G,benjamin.baker232@hotmail.com,Gold,2022-05-17,No
GST00216,Lewis,Davies,M,55-64,Cambridge,United Kingdom,CB,lewis.davies172@outlook.com,Gold,2020-06-10,Yes
GST00217,Chloe,Ali,F,25-34,Cambridge,United Kingdom,CB,chloe.ali849@yahoo.co.uk,Silver,2023-01-07,Yes
GST00218,William,Khan,M,35-44,Glasgow,United Kingdom,G,william.khan902@proton.me,Gold,2019-07-05,No
GST00219,Hannah,Campbell,F,18-24,Glasgow,United Kingdom,G,hannah.campbell298@proton.me,Bronze,2020-07-26,No
GST00220,Bethany,Morris,F,55-64,Cambridge,United Kingdom,CB,bethany.morris166@icloud.com,Gold,2023-02-28,Yes
GST00221,Alice,Stewart,F,25-34,Edinburgh,United Kingdom,EH,alice.stewart974@outlook.com,Non-member,,Yes
