ExternalBookingID,BookingSource,CreatedDate,ArrivalDate,DepartureDate,GuestName,GuestEmail,HotelCity,RoomCategory,Status,BookingAmountGBP,GuestCountry
OTA-16841162,Booking.com,2026-01-02,2026-03-28,2026-03-29,Chloe Murray,chloemurray75@gmail.com,London,Superior King,Confirmed,755.28,Germany
OTA-30238731,Expedia,2026-07-24,2026-08-10,2026-08-11,Sara Smith,sarasmith73@yahoo.co.uk,Birmingham,Exec King,Cancelled,651.14,United Kingdom
OTA-19193869,Booking.com,2026-02-02,2026-02-11,2026-02-13,Lily Phillips,lilyphillips28@outlook.com,Manchester,Standard Double,Checked Out,621.73,Germany
OTA-50614981,Expedia,2026-08-22,2026-11-13,2026-11-14,Noah Williams,noahwilliams59@outlook.com,London,Family Room,Checked Out,367.78,Ireland
OTA-53597637,Expedia,2026-06-24,2026-06-30,2026-07-01,Lily Wright,lilywright17@proton.me,Manchester,Standard Double,Cancelled,701.75,Ireland
OTA-30777661,Expedia,2026-07-08,2026-10-01,2026-10-02,Sara Green,saragreen97@outlook.com,Manchester,Standard Double,Checked Out,698.81,France
OTA-76912160,Booking.com,2026-08-13,2026-08-20,2026-08-24,Rebecca Turner,rebeccaturner63@hotmail.com,Bristol,Standard Twin,Checked Out,288.48,Germany
OTA-82884078,Expedia,2026-01-29,2026-04-21,2026-04-25,Charlotte King,charlotteking13@proton.me,London,Executive King,Checked Out,252.24,
OTA-73336758,Expedia,2026-02-23,2026-03-16,2026-03-21,Charlie Walker,charliewalker25@yahoo.co.uk,Liverpool,Executive King,Checked Out,307.26,Germany
OTA-42744295,Booking.com,2026-08-20,2026-10-22,2026-10-23,Bethany Robinson,bethanyrobinson41@icloud.com,Birmingham,Standard Double,Confirmed,373.67,United Kingdom
OTA-77292763,Booking.com,2026-02-01,2026-03-25,2026-03-26,Thomas Fraser,thomasfraser53@yahoo.co.uk,Birmingham,Family Room,Checked Out,544.67,Germany
OTA-62532891,Booking.com,2026-04-12,2026-05-06,2026-05-07,George Morris,georgemorris98@gmail.com,Liverpool,Superior King,Checked Out,208.71,United Kingdom
OTA-51068793,Booking.com,2026-03-15,2026-05-03,2026-05-04,Luke Clarke,lukeclarke58@icloud.com,Manchester,Superior King,Confirmed,123.11,United Kingdom
OTA-89582868,Expedia,2026-06-09,2026-07-16,2026-07-18,Bethany Morris,bethanymorris63@hotmail.com,Manchester,Standard Double,Checked Out,119.25,United Kingdom
OTA-61642149,Expedia,2026-07-17,2026-09-17,2026-09-20,Rohan Khan,rohankhan31@gmail.com,Birmingham,Exec King,Checked Out,266.19,Ireland
OTA-41868735,Booking.com,2026-07-25,2026-08-08,2026-08-11,Grace Taylor,gracetaylor14@proton.me,Edinburgh,Executive King,Cancelled,582.81,United States
OTA-36052999,Expedia,2026-08-01,2026-09-30,2026-10-02,Oliver Patel,oliverpatel80@hotmail.com,Bristol,Standard Double,Cancelled,855.64,United Kingdom
OTA-95198744,Expedia,2026-02-10,2026-03-28,2026-04-01,Mohammed Jackson,mohammedjackson1@gmail.com,Liverpool,Standard Double,Cancelled,778.76,United Kingdom
OTA-75885079,Expedia,2026-08-23,2026-09-28,2026-09-30,Lily Hussain,lilyhussain38@yahoo.co.uk,Edinburgh,Superior King,Confirmed,176.99,United States
OTA-91877102,Expedia,2026-06-10,2026-08-31,2026-09-02,Amelia Thompson,ameliathompson83@hotmail.com,Bristol,Executive King,Confirmed,946.95,
OTA-36681057,Expedia,2026-02-02,2026-04-28,2026-05-01,Grace Murray,gracemurray24@proton.me,Bristol,Family Room,Confirmed,829.1,United Kingdom
OTA-80666452,Expedia,2026-08-06,2026-08-21,2026-08-26,Georgia Jones,georgiajones38@proton.me,Manchester,Superior King,Cancelled,748.93,Germany
OTA-56419030,Booking.com,2026-01-02,2026-03-19,2026-03-24,Ananya Mitchell,ananyamitchell41@outlook.com,London,Standard Double,Confirmed,735.18,Ireland
OTA-54515444,Booking.com,2026-06-08,2026-07-05,2026-07-07,Charlotte Brown,charlottebrown30@proton.me,Edinburgh,Family Room,Confirmed,381.39,United States
OTA-20850316,Expedia,2026-01-30,2026-02-27,2026-03-04,David Williams,davidwilliams99@icloud.com,Edinburgh,Superior King,Confirmed,175.01,France
OTA-30407177,Booking.com,2026-05-22,2026-06-28,2026-06-29,Bethany Gupta,bethanygupta22@hotmail.com,Edinburgh,Standard Twin,Checked Out,590.78,United Kingdom
OTA-69968916,Booking.com,2026-03-24,2026-06-15,2026-06-16,Leo Gupta,leogupta41@proton.me,London,Standard Double,Cancelled,307.88,Ireland
OTA-18182458,Expedia,2026-06-13,2026-08-10,2026-08-15,Alfie Clarke,alfieclarke7@icloud.com,Birmingham,Exec King,Cancelled,836.28,United Kingdom
OTA-95653883,Booking.com,2026-01-13,2026-04-04,2026-04-08,Matthew Smith,matthewsmith87@outlook.com,Edinburgh,Standard Twin,Confirmed,757.61,Ireland
OTA-32645460,Booking.com,2026-06-07,2026-06-12,2026-06-17,Georgia Hall,georgiahall41@yahoo.co.uk,Bristol,Standard Double,Checked Out,949.7,France
OTA-33818102,Expedia,2026-06-02,2026-06-18,2026-06-21,Charlie Edwards,charlieedwards97@proton.me,Edinburgh,Family Room,Checked Out,523.77,France
OTA-17066885,Expedia,2026-05-06,2026-06-04,2026-06-07,Ava Gupta,avagupta32@hotmail.com,Manchester,Standard Twin,Checked Out,147.49,
OTA-27541005,Expedia,2026-01-17,2026-02-03,2026-02-08,George Ahmed,georgeahmed10@icloud.com,Birmingham,Exec King,Confirmed,630.57,United Kingdom
OTA-75171282,Expedia,2026-02-07,2026-04-19,2026-04-20,Benjamin Campbell,benjamincampbell59@outlook.com,Birmingham,Family Room,Confirmed,842.67,
OTA-92645325,Booking.com,2026-02-15,2026-03-20,2026-03-21,Leah Patel,leahpatel28@hotmail.com,London,Family Room,Cancelled,546.11,France
OTA-93806267,Expedia,2026-03-11,2026-03-29,2026-04-02,Oliver Patel,oliverpatel14@proton.me,Manchester,Standard Twin,Cancelled,173.97,United States
OTA-65738457,Expedia,2026-05-01,2026-06-04,2026-06-08,Georgia Turner,georgiaturner2@outlook.com,Edinburgh,Superior King,Cancelled,379.86,United Kingdom
OTA-87286632,Booking.com,2026-03-11,2026-05-22,2026-05-26,Maya Morris,mayamorris72@icloud.com,Liverpool,Superior King,Checked Out,190.22,Ireland
OTA-25448045,Booking.com,2026-05-04,2026-07-16,2026-07-21,Nathan Morris,nathanmorris75@gmail.com,Edinburgh,Standard Twin,Confirmed,954.64,Ireland
OTA-22255183,Expedia,2026-03-07,2026-04-08,2026-04-10,Leah Campbell,leahcampbell88@yahoo.co.uk,Edinburgh,Standard Double,Checked Out,239.29,France
OTA-64088785,Booking.com,2026-04-10,2026-05-25,2026-05-28,Aisha Collins,,London,Executive King,Confirmed,679.18,United Kingdom
OTA-70048226,Booking.com,2026-07-04,2026-07-20,2026-07-23,Lucy Taylor,lucytaylor88@icloud.com,Birmingham,Family Room,Checked Out,371.59,
OTA-71470785,Booking.com,2026-06-18,2026-07-09,2026-07-11,Callum Khan,callumkhan82@hotmail.com,Birmingham,Superior King,Confirmed,666.09,Germany
OTA-75843564,Expedia,2026-03-31,2026-04-06,2026-04-08,Lucy Gupta,lucygupta39@outlook.com,Birmingham,Superior King,Checked Out,498.69,United Kingdom
OTA-17921580,Expedia,2026-01-09,2026-01-16,2026-01-19,Nadia Smith,nadiasmith29@gmail.com,Liverpool,Superior King,Confirmed,117.76,Germany
OTA-51180086,Expedia,2026-03-29,2026-04-03,2026-04-04,Ella White,ellawhite80@gmail.com,Liverpool,Standard Double,Cancelled,541.64,France
OTA-97811540,Booking.com,2026-01-17,2026-03-10,2026-03-14,Fatima Baker,fatimabaker93@proton.me,Bristol,Standard Double,Cancelled,502.5,Germany
OTA-82830046,Booking.com,2026-04-26,2026-07-11,2026-07-15,Ananya Clarke,ananyaclarke8@outlook.com,Manchester,Superior King,Checked Out,258.38,United Kingdom
OTA-30919654,Expedia,2026-01-01,2026-03-25,2026-03-29,Joshua Campbell,joshuacampbell52@gmail.com,Manchester,Standard Twin,Checked Out,126.85,France
OTA-40222753,Booking.com,2026-04-14,2026-04-25,2026-04-29,Lily Williams,lilywilliams4@icloud.com,Birmingham,Exec King,Cancelled,507.13,United Kingdom
OTA-35174554,Expedia,2026-05-30,2026-07-16,2026-07-21,Rebecca King,rebeccaking51@gmail.com,Manchester,Standard Double,Checked Out,793.07,Ireland
OTA-64703664,Expedia,2026-07-23,2026-09-10,2026-09-13,Ella Robinson,ellarobinson24@hotmail.com,Manchester,Standard Double,Checked Out,148.88,Ireland
OTA-88755223,Booking.com,2026-04-20,2026-05-16,2026-05-17,Isla Parker,islaparker96@icloud.com,Liverpool,Standard Double,Cancelled,437.91,United States
OTA-10940723,Booking.com,2026-03-19,2026-06-16,2026-06-17,Sara Campbell,saracampbell8@hotmail.com,Edinburgh,Family Room,Checked Out,692.54,United Kingdom
OTA-39269150,Booking.com,2026-08-29,2026-11-06,2026-11-09,Arjun Parker,arjunparker63@outlook.com,Liverpool,Standard Double,Confirmed,927.86,Ireland
OTA-14834594,Booking.com,2026-05-15,2026-06-26,2026-07-01,Noah Ali,noahali93@icloud.com,Manchester,Family Room,Confirmed,156.72,United Kingdom
OTA-85865059,Expedia,2026-04-02,2026-06-20,2026-06-23,Zara Walker,zarawalker71@gmail.com,Edinburgh,Exec King,Confirmed,842.84,Ireland
OTA-71271048,Expedia,2026-04-25,2026-07-06,2026-07-08,Samuel Jackson,samueljackson98@proton.me,Birmingham,Standard Double,Cancelled,359.32,United Kingdom
OTA-62320024,Booking.com,2026-04-17,2026-05-17,2026-05-20,Yusuf Collins,yusufcollins85@gmail.com,Birmingham,Superior King,Confirmed,437.14,France
OTA-13114275,Booking.com,2026-07-24,2026-08-23,2026-08-28,Daniel Davies,danieldavies63@gmail.com,Bristol,Executive King,Confirmed,821.93,United States
OTA-29486365,Expedia,2026-05-05,2026-07-18,2026-07-21,Hannah Smith,hannahsmith6@yahoo.co.uk,Manchester,Standard Double,Checked Out,375.68,Germany
OTA-16148901,Booking.com,2026-02-20,2026-03-09,2026-03-10,Bethany Brown,bethanybrown65@icloud.com,Edinburgh,Standard Double,Confirmed,289.25,United Kingdom
OTA-90248407,Booking.com,2026-07-06,2026-08-03,2026-08-06,Jessica King,jessicaking30@yahoo.co.uk,Bristol,Family Room,Checked Out,128.46,Ireland
OTA-86840792,Expedia,2026-07-17,2026-10-03,2026-10-06,Zara Mehta,zaramehta98@yahoo.co.uk,Manchester,Superior King,Cancelled,684.87,Germany
OTA-39660178,Booking.com,2026-07-07,2026-08-13,2026-08-17,Oliver Fraser,oliverfraser32@gmail.com,Birmingham,Standard Double,Confirmed,346.77,France
OTA-13476330,Expedia,2026-05-12,2026-05-24,2026-05-29,Alfie Wood,alfiewood64@gmail.com,Birmingham,Standard Double,Checked Out,546.35,United Kingdom
OTA-12830520,Booking.com,2026-05-14,2026-07-22,2026-07-25,Lewis Walker,lewiswalker31@yahoo.co.uk,Edinburgh,Executive King,Cancelled,310.51,United Kingdom
OTA-59738295,Booking.com,2026-02-01,2026-02-28,2026-03-01,Samuel Jones,,Bristol,Standard Double,Confirmed,561.81,Ireland
OTA-27744637,Booking.com,2026-04-27,2026-07-13,2026-07-15,Jacob Collins,jacobcollins62@proton.me,Manchester,Family Room,Checked Out,739.68,Germany
OTA-72796159,Booking.com,2026-03-28,2026-06-19,2026-06-23,Freya Shah,freyashah42@icloud.com,Liverpool,Superior King,Checked Out,695.67,United Kingdom
OTA-69853633,Booking.com,2026-05-01,2026-07-28,2026-08-01,Zara Green,zaragreen76@hotmail.com,Edinburgh,Standard Twin,Confirmed,602.76,Germany
OTA-22109562,Expedia,2026-02-26,2026-04-23,2026-04-26,Bethany Baker,bethanybaker3@gmail.com,Birmingham,Executive King,Checked Out,735.49,United Kingdom
OTA-79475184,Expedia,2026-07-23,2026-10-19,2026-10-23,Olivia Reid,oliviareid8@outlook.com,Birmingham,Family Room,Checked Out,965.6,Ireland
OTA-90765090,Booking.com,2026-08-06,2026-09-29,2026-10-04,Oliver King,oliverking25@outlook.com,Manchester,Standard Double,Cancelled,611.4,United Kingdom
OTA-56288174,Booking.com,2026-02-22,2026-03-17,2026-03-18,Yusuf Mitchell,yusufmitchell37@proton.me,Birmingham,Standard Double,Checked Out,690.82,United Kingdom
OTA-11535624,Expedia,2026-01-31,2026-02-11,2026-02-15,Omar Ali,omarali93@hotmail.com,Liverpool,Family Room,Confirmed,263.72,
OTA-91371671,Booking.com,2026-07-16,2026-10-07,2026-10-08,Luke Williams,lukewilliams8@proton.me,Manchester,Exec King,Checked Out,845.42,United Kingdom
OTA-70761636,Booking.com,2026-01-05,2026-02-26,2026-02-28,Priya Campbell,priyacampbell20@outlook.com,Birmingham,Superior King,Checked Out,162.72,United Kingdom
OTA-68956614,Booking.com,2026-06-03,2026-07-07,2026-07-12,Grace Evans,graceevans32@yahoo.co.uk,Liverpool,Family Room,Checked Out,794.69,United Kingdom
OTA-80626590,Booking.com,2026-07-30,2026-09-01,2026-09-05,Arjun White,arjunwhite73@proton.me,Birmingham,Standard Double,Confirmed,347.66,France
OTA-93050859,Expedia,2026-08-24,2026-10-13,2026-10-18,Leah Phillips,,London,Family Room,Confirmed,209.41,United Kingdom
OTA-44215691,Booking.com,2026-02-24,2026-04-06,2026-04-08,Mohammed Carter,mohammedcarter52@hotmail.com,Manchester,Superior King,Confirmed,540.66,Ireland
OTA-97564178,Booking.com,2026-05-06,2026-05-10,2026-05-14,Freya Clarke,freyaclarke42@outlook.com,Birmingham,Standard Double,Confirmed,878.88,United Kingdom
OTA-87166636,Expedia,2026-04-04,2026-05-31,2026-06-01,Freya Thompson,,Edinburgh,Standard Twin,Confirmed,782.62,Germany
OTA-93254500,Expedia,2026-01-27,2026-04-08,2026-04-09,Emily Ali,emilyali31@gmail.com,London,Standard Double,Confirmed,145.97,United States
OTA-51641559,Booking.com,2026-01-25,2026-01-25,2026-01-26,Charlotte White,charlottewhite83@yahoo.co.uk,Birmingham,Family Room,Checked Out,443.51,Germany
OTA-91482308,Booking.com,2026-04-08,2026-04-08,2026-04-10,Ella Thompson,ellathompson56@yahoo.co.uk,Birmingham,Standard Double,Confirmed,724.42,Germany
OTA-18754241,Expedia,2026-03-28,2026-06-01,2026-06-03,Daniel Turner,danielturner98@outlook.com,Bristol,Standard Twin,Cancelled,654.32,France
OTA-72224134,Expedia,2026-07-08,2026-07-29,2026-07-30,Charlotte Morris,charlottemorris31@proton.me,London,Exec King,Confirmed,137.78,Ireland
OTA-80514969,Expedia,2026-06-14,2026-06-14,2026-06-17,George Hussain,,Edinburgh,Exec King,Cancelled,368.32,United Kingdom
OTA-37955444,Expedia,2026-08-26,2026-10-14,2026-10-15,George Parker,georgeparker91@gmail.com,London,Family Room,Confirmed,224.69,United Kingdom
OTA-62301466,Booking.com,2026-04-03,2026-04-28,2026-04-30,Chloe King,chloeking86@proton.me,Manchester,Superior King,Checked Out,634.81,United Kingdom
OTA-33269283,Expedia,2026-04-09,2026-07-03,2026-07-04,Jack Clarke,jackclarke69@proton.me,Birmingham,Standard Double,Confirmed,823.69,Ireland
OTA-34716521,Booking.com,2026-01-27,2026-02-23,2026-02-24,Jessica Jones,jessicajones30@outlook.com,London,Standard Twin,Confirmed,926.74,United Kingdom
OTA-12400939,Expedia,2026-04-26,2026-04-26,2026-04-29,Omar Parker,omarparker2@yahoo.co.uk,Birmingham,Executive King,Confirmed,807.09,United Kingdom
OTA-68525863,Expedia,2026-07-21,2026-08-04,2026-08-07,Maya Martin,mayamartin67@gmail.com,Edinburgh,Family Room,Confirmed,560.39,United Kingdom
OTA-94922920,Expedia,2026-04-02,2026-06-14,2026-06-15,Oliver Wilson,oliverwilson24@proton.me,Birmingham,Family Room,Confirmed,363.01,United States
OTA-85620392,Expedia,2026-01-24,2026-04-13,2026-04-15,Luke Hussain,lukehussain78@proton.me,London,Superior King,Cancelled,176.71,United Kingdom
OTA-62754377,Booking.com,2026-01-01,2026-02-06,2026-02-11,Alice Patel,alicepatel14@proton.me,Liverpool,Executive King,Cancelled,493.67,United Kingdom
OTA-28604606,Expedia,2026-08-18,2026-09-20,2026-09-22,Sophia Morris,sophiamorris36@hotmail.com,Bristol,Standard Double,Cancelled,791.77,Ireland
OTA-69288369,Booking.com,2026-03-26,2026-04-22,2026-04-26,Chloe Stewart,chloestewart71@hotmail.com,London,Standard Twin,Confirmed,96.88,Germany
OTA-57208758,Expedia,2026-01-18,2026-02-19,2026-02-23,Maya Turner,mayaturner80@gmail.com,Manchester,Standard Twin,Checked Out,691.18,Ireland
OTA-88448453,Expedia,2026-03-29,2026-06-01,2026-06-05,Emily Hussain,emilyhussain69@yahoo.co.uk,Manchester,Superior King,Confirmed,515.96,Ireland
OTA-14288559,Expedia,2026-06-27,2026-08-13,2026-08-16,Alfie Brown,,Birmingham,Executive King,Confirmed,199.31,Germany
OTA-53056366,Booking.com,2026-07-28,2026-09-20,2026-09-22,Ava Murray,avamurray6@icloud.com,Edinburgh,Standard Double,Checked Out,595.79,United Kingdom
OTA-19496435,Expedia,2026-01-04,2026-01-15,2026-01-19,Adam Green,adamgreen12@icloud.com,Edinburgh,Family Room,Confirmed,146.41,United States
OTA-76093002,Booking.com,2026-01-30,2026-02-06,2026-02-11,Henry Walker,henrywalker83@outlook.com,London,Standard Double,Confirmed,478.67,United Kingdom
OTA-38316836,Expedia,2026-07-19,2026-09-06,2026-09-09,Grace Hussain,gracehussain48@proton.me,London,Standard Twin,Confirmed,763.01,United Kingdom
OTA-76119034,Expedia,2026-03-06,2026-03-11,2026-03-15,Oscar Murray,oscarmurray5@gmail.com,Edinburgh,Executive King,Checked Out,127.59,United States
OTA-74543260,Expedia,2026-07-13,2026-09-14,2026-09-16,Nadia Cooper,nadiacooper87@hotmail.com,London,Standard Double,Cancelled,459.53,Germany
OTA-46277365,Booking.com,2026-02-18,2026-02-20,2026-02-24,Rebecca Smith,rebeccasmith78@proton.me,Birmingham,Family Room,Confirmed,585.15,Ireland
OTA-91622544,Expedia,2026-01-28,2026-02-23,2026-02-27,Thomas King,thomasking41@yahoo.co.uk,London,Executive King,Cancelled,194.14,Ireland
OTA-13209447,Booking.com,2026-06-04,2026-08-14,2026-08-15,Oliver Ahmed,oliverahmed82@hotmail.com,London,Standard Twin,Checked Out,827.12,United Kingdom
OTA-91240565,Expedia,2026-03-24,2026-04-19,2026-04-23,Evie White,eviewhite64@yahoo.co.uk,Edinburgh,Standard Double,Cancelled,531.03,United Kingdom
OTA-57804938,Expedia,2026-07-22,2026-09-03,2026-09-06,Charlotte Green,charlottegreen96@yahoo.co.uk,London,Standard Double,Confirmed,566.4,Ireland
OTA-16328985,Booking.com,2026-05-25,2026-06-21,2026-06-23,Leah Jackson,,London,Executive King,Confirmed,817.95,France
OTA-10736090,Expedia,2026-06-30,2026-08-28,2026-09-02,Georgia Shah,georgiashah17@gmail.com,Manchester,Family Room,Checked Out,701.4,United States
OTA-49314345,Booking.com,2026-02-19,2026-04-22,2026-04-23,David Hussain,davidhussain3@outlook.com,London,Family Room,Confirmed,237.23,United Kingdom
OTA-56050367,Booking.com,2026-03-27,2026-05-03,2026-05-07,Matthew Robinson,matthewrobinson37@outlook.com,Bristol,Standard Double,Confirmed,285.69,France
OTA-55937659,Expedia,2026-07-31,2026-08-06,2026-08-09,Ava Hussain,avahussain46@yahoo.co.uk,London,Family Room,Confirmed,115.57,United Kingdom
OTA-48321153,Expedia,2026-03-15,2026-05-16,2026-05-17,Alice Campbell,alicecampbell28@hotmail.com,Manchester,Family Room,Cancelled,894.02,Germany
OTA-61608265,Expedia,2026-06-18,2026-08-20,2026-08-24,Rebecca Wood,rebeccawood74@proton.me,Birmingham,Superior King,Confirmed,885.69,United Kingdom
OTA-40917734,Expedia,2026-01-05,2026-01-25,2026-01-27,Rebecca Fraser,rebeccafraser99@proton.me,Bristol,Standard Twin,Checked Out,331.3,United Kingdom
OTA-77275864,Booking.com,2026-08-05,2026-08-26,2026-08-31,Ryan Baker,ryanbaker18@yahoo.co.uk,Birmingham,Standard Double,Checked Out,558.55,Germany
OTA-96543429,Booking.com,2026-02-03,2026-04-29,2026-04-30,Zara Parker,zaraparker40@icloud.com,Manchester,Standard Double,Confirmed,790.82,United Kingdom
OTA-38045351,Booking.com,2026-05-18,2026-06-26,2026-06-29,Arjun Singh,arjunsingh56@proton.me,Birmingham,Standard Double,Cancelled,879.06,France
OTA-81493028,Booking.com,2026-05-06,2026-07-20,2026-07-23,Alfie Davies,alfiedavies36@icloud.com,Edinburgh,Exec King,Cancelled,159.01,United Kingdom
OTA-57703766,Expedia,2026-05-07,2026-07-07,2026-07-09,Charlie Edwards,,Edinburgh,Family Room,Confirmed,248.93,United Kingdom
OTA-51635660,Booking.com,2026-02-17,2026-03-06,2026-03-08,Fatima Khan,fatimakhan97@outlook.com,Edinburgh,Executive King,Confirmed,809.08,France
OTA-52873163,Expedia,2026-05-22,2026-05-31,2026-06-02,Luke Walker,,London,Executive King,Cancelled,745.92,United Kingdom
OTA-21906101,Booking.com,2026-03-01,2026-04-01,2026-04-02,Harry Baker,,Liverpool,Executive King,Confirmed,463.79,United Kingdom
OTA-35184870,Expedia,2026-07-21,2026-08-15,2026-08-17,Olivia Stewart,oliviastewart64@icloud.com,Edinburgh,Standard Double,Cancelled,526.74,Germany
OTA-30545264,Expedia,2026-01-04,2026-02-22,2026-02-25,Benjamin Taylor,benjamintaylor78@proton.me,London,Family Room,Checked Out,510.57,Ireland
OTA-51478980,Booking.com,2026-07-13,2026-10-03,2026-10-06,Callum Robinson,callumrobinson76@hotmail.com,London,Standard Double,Cancelled,429.48,United States
OTA-38290393,Booking.com,2026-08-25,2026-10-30,2026-11-04,James Walker,jameswalker29@hotmail.com,Birmingham,Family Room,Confirmed,704.39,Ireland
OTA-60330870,Expedia,2026-07-25,2026-10-17,2026-10-21,Noah Khan,noahkhan68@hotmail.com,Liverpool,Executive King,Confirmed,329.25,United Kingdom
OTA-76293867,Expedia,2026-02-18,2026-05-02,2026-05-03,Grace Ahmed,graceahmed24@proton.me,London,Standard Double,Confirmed,552.98,Germany
OTA-46919309,Expedia,2026-01-15,2026-03-27,2026-03-30,William Taylor,williamtaylor36@yahoo.co.uk,Bristol,Standard Double,Checked Out,206.26,France
OTA-88865167,Booking.com,2026-01-03,2026-01-18,2026-01-20,William Brown,williambrown89@yahoo.co.uk,Bristol,Standard Double,Confirmed,344.01,United States
OTA-90236319,Booking.com,2026-08-21,2026-11-12,2026-11-17,Leah Turner,leahturner68@icloud.com,London,Standard Double,Cancelled,106.75,United Kingdom
OTA-79353676,Expedia,2026-01-26,2026-04-17,2026-04-18,Mia Martin,miamartin91@gmail.com,Manchester,Family Room,Cancelled,251.9,United States
OTA-10146986,Booking.com,2026-04-28,2026-07-26,2026-07-27,Noah Khan,noahkhan66@hotmail.com,Manchester,Exec King,Checked Out,689.54,France
OTA-17259881,Expedia,2026-05-10,2026-05-22,2026-05-24,Mia Smith,miasmith21@gmail.com,Birmingham,Standard Double,Confirmed,468.49,United Kingdom
OTA-41040678,Expedia,2026-03-25,2026-03-31,2026-04-05,Bethany Davies,bethanydavies83@hotmail.com,Edinburgh,Family Room,Cancelled,428.87,Germany
OTA-37942069,Booking.com,2026-02-26,2026-03-30,2026-04-03,Henry Wood,henrywood85@proton.me,London,Family Room,Confirmed,736.58,Ireland
OTA-27046633,Booking.com,2026-07-20,2026-08-14,2026-08-19,Jacob Wilson,jacobwilson73@gmail.com,London,Family Room,Confirmed,555.08,United States
OTA-89700027,Expedia,2026-05-14,2026-07-04,2026-07-09,Benjamin Wright,benjaminwright25@outlook.com,Manchester,Superior King,Checked Out,164.32,United Kingdom
